Title,Country,PublicCloud,Complexity,HasAWS,HasAzure,HasGCP,HasOCI,PrimaryHyperScaler,Website01,Website02,Website03,Website04,Website05,WAF,WAFVendor,WAFTool,CMSFramework,WebServer,CDN,RiskScore,RecommendsFortiAppSec,RecommendsFortiWeb,RecommendsFortiCNAPP,OpportunityRationale,ScannedAt
Banco de Crédito BCP,Perú,Further investigation needed,-,No,No,No,No,-,https://viabcp.com,https://www.viabcp.com,https://authserver.viabcp.com,-,-,No,-,,-,-,-,LOW (0/15),-,-,-,,2026-05-06T14:01:55Z
Falabella Chile,Chile,Further investigation needed,-,No,No,No,No,-,https://falabella.com,https://www.falabella.com,https://tienda.falabella.com,https://secure.falabella.com,https://confluence.falabella.com,No,-,,-,-,-,LOW (0/15),-,-,-,,2026-05-06T14:01:55Z
