Title,Country,SiteURL,IsPrimary,Alive,StatusCode,IP,ASN,ASNOrg,CloudProvider,CDN,WAFDetected,WAFVendor,WAFTool,CMSFramework,WebServer,TLSVersion,CertIssuer,CertExpiresAt,HSTS,CSP,XFO,XCTO,ReferrerPolicy,PermissionsPolicy,ScanTier,ScannedAt
Banco de Crédito BCP,Perú,https://viabcp.com,1,0,,104.20.52.240,13335,"CLOUDFLARENET - Cloudflare, Inc., US",Cloudflare,-,0,-,,-,-,-,,,0,0,0,0,0,0,passive,2026-05-06T03:00:59Z
Falabella Chile,Chile,https://falabella.com,1,0,,104.16.239.153,13335,"CLOUDFLARENET - Cloudflare, Inc., US",Cloudflare,-,0,-,,-,-,-,,,0,0,0,0,0,0,passive,2026-05-06T03:00:59Z
